fault_id,param_idx,elem_idx,bit_idx,accuracy,has_nan,has_inf,failure_type
1_115_28,1,115,28,97.9,False,False,no_effect
1_0_2,1,0,2,97.9,False,False,no_effect
1_152_1,1,152,1,97.9,False,False,no_effect
0_77_0,0,77,0,97.9,False,False,no_effect
1_56_13,1,56,13,97.9,False,False,no_effect
1_5_17,1,5,17,97.9,False,False,no_effect
0_24_2,0,24,2,97.9,False,False,no_effect
1_91_9,1,91,9,97.9,False,False,no_effect
0_67_23,0,67,23,97.9,False,False,no_effect
0_59_16,0,59,16,97.9,False,False,no_effect
1_23_25,1,23,25,97.9,False,False,no_effect
0_187_4,0,187,4,97.9,False,False,no_effect
1_123_11,1,123,11,97.9,False,False,no_effect
1_176_6,1,176,6,97.9,False,False,no_effect
1_9_24,1,9,24,97.8,False,False,sdc_minor
0_14_21,0,14,21,97.9,False,False,no_effect
1_111_26,1,111,26,97.9,False,False,no_effect
0_58_0,0,58,0,97.9,False,False,no_effect
1_13_19,1,13,19,97.9,False,False,no_effect
0_81_9,0,81,9,97.9,False,False,no_effect
1_128_14,1,128,14,97.9,False,False,no_effect
0_12_25,0,12,25,97.9,False,False,no_effect
1_152_5,1,152,5,97.9,False,False,no_effect
0_110_18,0,110,18,97.9,False,False,no_effect
1_37_8,1,37,8,97.9,False,False,no_effect
1_21_30,1,21,30,11.9,False,False,catastrophic_low_acc
0_140_25,0,140,25,97.9,False,False,no_effect
1_21_25,1,21,25,97.9,False,False,no_effect
1_178_8,1,178,8,97.9,False,False,no_effect
0_123_12,0,123,12,97.9,False,False,no_effect
1_101_12,1,101,12,97.9,False,False,no_effect
0_62_4,0,62,4,97.9,False,False,no_effect
1_110_20,1,110,20,97.9,False,False,no_effect
0_28_26,0,28,26,97.9,False,False,no_effect
1_93_22,1,93,22,97.9,False,False,no_effect
0_82_22,0,82,22,97.9,False,False,no_effect
0_78_10,0,78,10,97.9,False,False,no_effect
1_157_28,1,157,28,97.9,False,False,no_effect
0_112_2,0,112,2,97.9,False,False,no_effect
0_51_23,0,51,23,97.9,False,False,no_effect
0_186_5,0,186,5,97.9,False,False,no_effect
0_189_3,0,189,3,97.9,False,False,no_effect
0_158_9,0,158,9,97.9,False,False,no_effect
1_3_21,1,3,21,97.9,False,False,no_effect
0_78_28,0,78,28,97.9,False,False,no_effect
1_5_21,1,5,21,97.9,False,False,no_effect
0_189_13,0,189,13,97.9,False,False,no_effect
0_139_16,0,139,16,97.9,False,False,no_effect
1_159_9,1,159,9,97.9,False,False,no_effect
0_96_2,0,96,2,97.9,False,False,no_effect
1_43_3,1,43,3,97.9,False,False,no_effect
1_51_17,1,51,17,97.9,False,False,no_effect
0_119_0,0,119,0,97.9,False,False,no_effect
0_99_17,0,99,17,97.9,False,False,no_effect
1_27_1,1,27,1,97.9,False,False,no_effect
1_166_24,1,166,24,97.9,False,False,no_effect
0_97_6,0,97,6,97.9,False,False,no_effect
1_124_5,1,124,5,97.9,False,False,no_effect
0_50_29,0,50,29,97.9,False,False,no_effect
0_10_15,0,10,15,97.9,False,False,no_effect
1_85_31,1,85,31,97.9,False,False,no_effect
1_190_10,1,190,10,97.9,False,False,no_effect
0_88_22,0,88,22,97.9,False,False,no_effect
1_160_19,1,160,19,97.9,False,False,no_effect
0_128_17,0,128,17,97.9,False,False,no_effect
0_160_16,0,160,16,97.9,False,False,no_effect
1_7_17,1,7,17,97.9,False,False,no_effect
0_38_21,0,38,21,97.9,False,False,no_effect
1_168_8,1,168,8,97.9,False,False,no_effect
0_186_24,0,186,24,97.9,False,False,no_effect
0_106_15,0,106,15,97.9,False,False,no_effect
0_109_19,0,109,19,97.9,False,False,no_effect
1_114_8,1,114,8,97.9,False,False,no_effect
0_167_8,0,167,8,97.9,False,False,no_effect
0_35_19,0,35,19,97.9,False,False,no_effect
0_110_9,0,110,9,97.9,False,False,no_effect
0_81_4,0,81,4,97.9,False,False,no_effect
0_47_20,0,47,20,98.0,False,False,no_effect
0_186_1,0,186,1,97.9,False,False,no_effect
1_105_26,1,105,26,97.9,False,False,no_effect
1_113_17,1,113,17,97.9,False,False,no_effect
0_48_6,0,48,6,97.9,False,False,no_effect
0_47_1,0,47,1,97.9,False,False,no_effect
1_155_14,1,155,14,97.9,False,False,no_effect
0_59_1,0,59,1,97.9,False,False,no_effect
1_20_30,1,20,30,11.9,False,False,catastrophic_low_acc
0_128_30,0,128,30,11.9,True,False,catastrophic_nan_inf
1_47_24,1,47,24,98.0,False,False,no_effect
1_121_8,1,121,8,97.9,False,False,no_effect
